Name,Rating,Date,Title,Review,Product_url,Label
HalBally,1,08/08/2024,the bag is too fragile. poor zipper,Use of good materials,https://www.jumia.com.ng/fashion-casual-shoulder-sports-sling-bag-chest-bag-crossbody-bag-66767306.html,
Adewale,5,05/08/2024,good,I just like it,https://www.jumia.com.ng/fashion-casual-shoulder-sports-sling-bag-chest-bag-crossbody-bag-66767306.html,
Oluyeye,3,07/08/2024,nice watch,Nice watch exactly what I ordered for except I had to change the battery myself as it was already dead when they delivered it other than that great watch,https://www.jumia.com.ng/fngeen-03-luxury-classy-unisex-watch-with-date-week-coffee-81267325.html,
Oluwaseyi,3,07/08/2024,cool,Not too bad,https://www.jumia.com.ng/fngeen-03-luxury-classy-unisex-watch-with-date-week-coffee-81267325.html,
Kingsley,4,29/07/2024,improve its colour,It's nice out,https://www.jumia.com.ng/fngeen-03-luxury-classy-unisex-watch-with-date-week-coffee-81267325.html,
Roheemot,5,09/08/2024,I love it,It’s giving 10/1000,https://www.jumia.com.ng/fashion-n001-vintage-geometry-sequins-strip-necklace-gold-like-122055468.html,
Christiana Umeaka,1,09/08/2024,Gold turned to silver,Just two days of buying the gold color has piled to a different color,https://www.jumia.com.ng/fashion-n001-vintage-geometry-sequins-strip-necklace-gold-like-122055468.html,
Wendy,4,05/08/2024,Looks good,Yet to use it,https://www.jumia.com.ng/fashion-n001-vintage-geometry-sequins-strip-necklace-gold-like-122055468.html,
Okoekoh,5,05/08/2024,good,Easy to wear and also to watch too..good quality,https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeve-t-shirt-shorts-set-black-205233860.html,
ABDULAFEEZ,5,02/08/2024,I love it,I love the cloth,https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeve-t-shirt-shorts-set-black-205233860.html,
Jude,5,01/08/2024,Nice,It's looks smart n fine I like it,https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeve-t-shirt-shorts-set-black-205233860.html,
Joy,5,09/08/2024,I like it,Highly recommend,https://www.jumia.com.ng/fashion-butterfly-necklace-double-layer-rust-proof-alloy-silver-141578083.html,
Onwuegbuchi,4,29/07/2024,I like it,The quality is good buh not to good,https://www.jumia.com.ng/fashion-butterfly-necklace-double-layer-rust-proof-alloy-silver-141578083.html,
Aisha,5,24/07/2024,butterfly size,A bit tiny but love it,https://www.jumia.com.ng/fashion-butterfly-necklace-double-layer-rust-proof-alloy-silver-141578083.html,
Stephen Peter,4,29/07/2024,Love it,Quality for the price,https://www.jumia.com.ng/fashion-2-in-1-men-t-shirts-2-pcs-tshirts-men-shorts-men-suits-133142623.html,
Suleiman,4,29/07/2024,good,Nice,https://www.jumia.com.ng/fashion-2-in-1-men-t-shirts-2-pcs-tshirts-men-shorts-men-suits-133142623.html,
Nehemiah,5,26/07/2024,I love it,I love the design but the thickness is the problem,https://www.jumia.com.ng/fashion-2-in-1-men-t-shirts-2-pcs-tshirts-men-shorts-men-suits-133142623.html,
Hebrewess,5,02/08/2024,Okay,Is fair o,https://www.jumia.com.ng/vejaro-s03-mens-fashion-6-in-1-grey-black-white-ankle-socks-82608303.html,
Harry,4,01/08/2024,Good for the price,Good for the price,https://www.jumia.com.ng/vejaro-s03-mens-fashion-6-in-1-grey-black-white-ankle-socks-82608303.html,
Salihu Shero,5,18/07/2024,socks,Satisfactory as requested,https://www.jumia.com.ng/vejaro-s03-mens-fashion-6-in-1-grey-black-white-ankle-socks-82608303.html,
Elochukwu,5,08/08/2024,I like it is very nice,Emus exactly what I saw,https://www.jumia.com.ng/fashion-lauder-wm-black-and-white-shoes-173155660.html,
Olawale Timilehin,5,07/08/2024,Good,Good,https://www.jumia.com.ng/fashion-lauder-wm-black-and-white-shoes-173155660.html,
Kelvin,5,06/08/2024,DOPE????,It's fire????????????????????????????,https://www.jumia.com.ng/fashion-lauder-wm-black-and-white-shoes-173155660.html,
Daramola,5,06/08/2024,Very durable,Love the dress,https://www.jumia.com.ng/fashion-mens-zipper-comfort-blazers-windbreak-lightweight-jackets-coats-burgundy-70359042.html,
Vera,4,02/08/2024,Good,I like it,https://www.jumia.com.ng/fashion-mens-zipper-comfort-blazers-windbreak-lightweight-jackets-coats-burgundy-70359042.html,
fuminiyi oni,4,30/07/2024,Ok!,Perfect cover for cold weather,https://www.jumia.com.ng/fashion-mens-zipper-comfort-blazers-windbreak-lightweight-jackets-coats-burgundy-70359042.html,
BIGGSAM,4,06/08/2024,Very Okay For The Price,"The only thing is, the texture isn't all accurate.
But It's very okay, got a lot of complements.",https://www.jumia.com.ng/fashion-mens-fashion-sneakers-running-shoes-113607132.html,
Ayinla,5,05/08/2024,good product,It is made of good materials,https://www.jumia.com.ng/fashion-mens-fashion-sneakers-running-shoes-113607132.html,
Chrisma,5,01/08/2024,Got what I paid for,I'm satisfied with the product,https://www.jumia.com.ng/fashion-mens-fashion-sneakers-running-shoes-113607132.html,
YUSUF,5,08/08/2024,Smart sneakers it look so smart on my leg,Good.& Smart,https://www.jumia.com.ng/fashion-2024-mens-casual-board-shoes-running-sneakers-whiteblack-102351566.html,
Favour,5,06/08/2024,I love ❤️ it,The shoe is nice ???? I really love it,https://www.jumia.com.ng/fashion-2024-mens-casual-board-shoes-running-sneakers-whiteblack-102351566.html,
Victor,5,01/08/2024,Male Foot wear,It looks great,https://www.jumia.com.ng/fashion-2024-mens-casual-board-shoes-running-sneakers-whiteblack-102351566.html,
Ayodele,4,08/08/2024,I Like it,GOOD STUFF,https://www.jumia.com.ng/fashion-mens-fashion-casual-classic-briefs-4-piece-set-multicolor-196672168.html,
Jason,5,06/08/2024,Very Good Product,Perfect,https://www.jumia.com.ng/fashion-mens-fashion-casual-classic-briefs-4-piece-set-multicolor-196672168.html,
Sandra Francis,5,05/08/2024,He loves them,Says the quality is pretty good and it’s not too tight and it’s breathable and free.. doesn’t feel like he has boxers on.,https://www.jumia.com.ng/fashion-mens-fashion-casual-classic-briefs-4-piece-set-multicolor-196672168.html,
Emmanuel,5,07/08/2024,i got what i ordered...,Good,https://www.jumia.com.ng/generic-5pcs-set-luxury-women-watches-magnetic-starry-sky-ladies-quartz-wristwatch-268724781.html,
Princess,1,17/07/2024,low quality,"Rusted out really quickly 
Won't recommend",https://www.jumia.com.ng/generic-5pcs-set-luxury-women-watches-magnetic-starry-sky-ladies-quartz-wristwatch-268724781.html,
Precious,5,16/07/2024,Nice combo,I got what I ordered. I love itty,https://www.jumia.com.ng/generic-5pcs-set-luxury-women-watches-magnetic-starry-sky-ladies-quartz-wristwatch-268724781.html,
Amy,5,02/08/2024,Worth more than the price,Perfect ????,https://www.jumia.com.ng/fashion-men-updown-short-and-polo-blackcream-249955062.html,
Timothy,5,29/07/2024,it's perfect for the price,Everything I love it,https://www.jumia.com.ng/fashion-men-updown-short-and-polo-blackcream-249955062.html,
christian,4,29/07/2024,Goood,Very okay,https://www.jumia.com.ng/fashion-men-updown-short-and-polo-blackcream-249955062.html,
Marius,1,05/08/2024,I don't like it,"All the zip No good, is no strong, I no like it",https://www.jumia.com.ng/gatwiga-3-in-1-bag-set-pencilcrossbodylaptop-backpack-grey-84992408.html,
Chibuzor,1,24/07/2024,I don't like it very weak,The bag is very weak,https://www.jumia.com.ng/gatwiga-3-in-1-bag-set-pencilcrossbodylaptop-backpack-grey-84992408.html,
Thomas,5,23/07/2024,gr8,Beautiful,https://www.jumia.com.ng/gatwiga-3-in-1-bag-set-pencilcrossbodylaptop-backpack-grey-84992408.html,
Korode,5,05/08/2024,its well packed,They are of good quality j,https://www.jumia.com.ng/fashion-mens-shoes-sports-shoes-breathable-wild-mens-casual-shoes-running-shoes-273563200.html,
Olatunji Saoban,5,05/08/2024,love it,It soft and very lightweight,https://www.jumia.com.ng/fashion-mens-shoes-sports-shoes-breathable-wild-mens-casual-shoes-running-shoes-273563200.html,
Ibrahim,3,02/08/2024,Faulty,Left leg is uncomfortable,https://www.jumia.com.ng/fashion-mens-shoes-sports-shoes-breathable-wild-mens-casual-shoes-running-shoes-273563200.html,
Mustapha,5,29/07/2024,nice,It's very white and durable,https://www.jumia.com.ng/fashion-men-shoes-sneakers-skateboarding-shoes-sport-shoes-running-casual-shoes-93028748.html,
Joseph,1,17/07/2024,Poor material,It doesn't look like what was ordered. The material is substandard and has a nylon look,https://www.jumia.com.ng/fashion-men-shoes-sneakers-skateboarding-shoes-sport-shoes-running-casual-shoes-93028748.html,
falaju,5,16/07/2024,super nice,It is very much fantastic to the price,https://www.jumia.com.ng/fashion-men-shoes-sneakers-skateboarding-shoes-sport-shoes-running-casual-shoes-93028748.html,
Musa Jamila,1,02/08/2024,The quality,"The quality is bad and when I got mine no zip, can’t even use it",https://www.jumia.com.ng/eilifinte-b03-ladies-causal-oxford-backpack-bag-black-98637380.html,
Ojo,1,31/07/2024,The zipper is too weak and has low quality,Purchasing quality bag materials,https://www.jumia.com.ng/eilifinte-b03-ladies-causal-oxford-backpack-bag-black-98637380.html,
Kolawole,1,23/07/2024,I don't like it,Is not of good quality,https://www.jumia.com.ng/eilifinte-b03-ladies-causal-oxford-backpack-bag-black-98637380.html,
amadi,5,05/08/2024,is wow,I love it,https://www.jumia.com.ng/fashion-mens-walking-shoes-breathable-non-slip-running-shoes-mesh-sneakers-beige-277295047.html,
Daniel,4,05/08/2024,I Like it,Very okay for the price,https://www.jumia.com.ng/fashion-mens-walking-shoes-breathable-non-slip-running-shoes-mesh-sneakers-beige-277295047.html,
Nicholas agbokhaode,5,29/07/2024,I like it,It is very good.,https://www.jumia.com.ng/fashion-mens-walking-shoes-breathable-non-slip-running-shoes-mesh-sneakers-beige-277295047.html,
Lady B - Brendo,5,08/08/2024,Lovely♥️♥️♥️????,"My husband Love it. It's very good. Just as it's displayed on the system. I recommend it for everyone. Trust me, u will not regret buying it.",https://www.jumia.com.ng/fashion-2024-mens-casual-board-shoes-running-sneakers-white-67524136.html,
Ubiorekomo,3,07/08/2024,nice,Just as I expected it,https://www.jumia.com.ng/fashion-2024-mens-casual-board-shoes-running-sneakers-white-67524136.html,
Isabella,5,31/07/2024,good shoe,Very nice and fitting,https://www.jumia.com.ng/fashion-2024-mens-casual-board-shoes-running-sneakers-white-67524136.html,
Akinsina,4,06/08/2024,good,It was fantastic,https://www.jumia.com.ng/fashion-luxury-sandals-men-shoes-unique-design-slides-for-men-214257408.html,
Godwin,5,05/08/2024,Good,Just as advertised,https://www.jumia.com.ng/fashion-luxury-sandals-men-shoes-unique-design-slides-for-men-214257408.html,
Chizoba,5,29/07/2024,crocks,Great quality. Good value for my money,https://www.jumia.com.ng/fashion-luxury-sandals-men-shoes-unique-design-slides-for-men-214257408.html,
Akeem,5,07/08/2024,The fit,The color,https://www.jumia.com.ng/fashion-mens-trench-blazers-lightweight-trendy-jackets-white-78940689.html,
Adedeji,5,05/08/2024,good,Good,https://www.jumia.com.ng/fashion-mens-trench-blazers-lightweight-trendy-jackets-white-78940689.html,
Mrs Helen,5,01/08/2024,lovely,I love everything about it,https://www.jumia.com.ng/fashion-mens-trench-blazers-lightweight-trendy-jackets-white-78940689.html,
Uki,5,18/07/2024,Goodproduct,Fantastic,https://www.jumia.com.ng/fashion-unisex-ny-black-patterned-baseball-face-cap-black-241891549.html,
christian,4,12/07/2024,Good item,Delivered on time,https://www.jumia.com.ng/fashion-unisex-ny-black-patterned-baseball-face-cap-black-241891549.html,
Oladapo,4,11/07/2024,I like it,"It is silkier than the previous one I bought, but it's not looking bad",https://www.jumia.com.ng/fashion-unisex-ny-black-patterned-baseball-face-cap-black-241891549.html,
Ntat,4,31/07/2024,I like it,The leather is too thin.,https://www.jumia.com.ng/fashion-men-leather-loafers-slip-ons-78942701.html,
Moses,4,24/07/2024,Good,Good product and price,https://www.jumia.com.ng/fashion-men-leather-loafers-slip-ons-78942701.html,
NURUDEEN,1,22/07/2024,inferior quality,Improve the sole and leather quality.,https://www.jumia.com.ng/fashion-men-leather-loafers-slip-ons-78942701.html,
Catherine Ohiku,4,01/08/2024,It's ok,It does the job I got it for,https://www.jumia.com.ng/fashion-mens-sports-shoes-mesh-sneakers-blackwhite-277290035.html,
Taiwo,1,09/08/2024,Lovely,This is my second time buying it.,https://www.jumia.com.ng/fashion-n002-ladies-2-in-1-vintage-earrings-necklace-set-gold-like-95187151.html,
Blessed,5,08/08/2024,Good product,Is actually what I was expecting,https://www.jumia.com.ng/fashion-n002-ladies-2-in-1-vintage-earrings-necklace-set-gold-like-95187151.html,
Opeyemi,5,05/08/2024,Beautiful earring and necklace,The set is so beautiful.,https://www.jumia.com.ng/fashion-n002-ladies-2-in-1-vintage-earrings-necklace-set-gold-like-95187151.html,
Monday,4,05/08/2024,Quality aspect,"Improving in the quality will make it more suitable, but it's nice and kinda flat I had to do something on the inside to make my legs sit well",https://www.jumia.com.ng/fashion-mens-slip-on-sneakers-driving-shoes-white-133143543.html,
Emmanuel,5,29/07/2024,Comfy And Lovely,Served it's purpose and was cheaper than in stores. Comfy too...,https://www.jumia.com.ng/fashion-mens-slip-on-sneakers-driving-shoes-white-133143543.html,
Chukwuemeka,5,29/07/2024,perfect size and material,Lovely,https://www.jumia.com.ng/fashion-mens-slip-on-sneakers-driving-shoes-white-133143543.html,
Ocean,5,08/08/2024,top norch,Perfect size,https://www.jumia.com.ng/fashion-denim-jacket-korean-casual-jacket-youth-trend-hooded-couple-light-blue-117250492.html,
OlaOluwa,5,07/08/2024,Looks very good,I like the pattern and color. I'm glad I got what I was expecting.,https://www.jumia.com.ng/fashion-denim-jacket-korean-casual-jacket-youth-trend-hooded-couple-light-blue-117250492.html,
Chukwu_Light,5,05/08/2024,too good,As seen in their picture,https://www.jumia.com.ng/fashion-denim-jacket-korean-casual-jacket-youth-trend-hooded-couple-light-blue-117250492.html,
Abiodun,4,30/07/2024,nice,It's very light and soft. The leather is good but not thick.,https://www.jumia.com.ng/fashion-4-pcs-women-bags-ladies-bags-handbags-purse-shoulder-bags-69012048.html,
Michael,5,23/07/2024,I like it,I like it,https://www.jumia.com.ng/fashion-4-pcs-women-bags-ladies-bags-handbags-purse-shoulder-bags-69012048.html,
Lerwa,4,22/07/2024,I like it,Good product is as shown,https://www.jumia.com.ng/fashion-4-pcs-women-bags-ladies-bags-handbags-purse-shoulder-bags-69012048.html,
Ismail,5,02/08/2024,I like it,The simplicity and design resonate with ne.,https://www.jumia.com.ng/fashion-men-wrist-watch-sports-quartz-watch-black-209848079.html,
Rita,1,19/07/2024,I hate it,"It's less of quality,it's just like a baby watch",https://www.jumia.com.ng/fashion-men-wrist-watch-sports-quartz-watch-black-209848079.html,
Amoo Oluwagbeminija,1,11/07/2024,Is it refundable??,"It’s not working perfectly, I can’t even use it",https://www.jumia.com.ng/fashion-men-wrist-watch-sports-quartz-watch-black-209848079.html,
Tunde,5,24/07/2024,My wife like it,It's a beautiful product,https://www.jumia.com.ng/fashion-2-in-1-women-female-fashion-quartz-wrist-watch-bracelet-set-143764808.html,
Timothy,3,19/07/2024,i dont like it,it lost color after a month use,https://www.jumia.com.ng/fashion-2-in-1-women-female-fashion-quartz-wrist-watch-bracelet-set-143764808.html,
Abiola Oladele,5,15/07/2024,I love it,Good product,https://www.jumia.com.ng/fashion-2-in-1-women-female-fashion-quartz-wrist-watch-bracelet-set-143764808.html,
Kristal ????????,4,08/08/2024,I like it,I shared with my sweetheart ????????,https://www.jumia.com.ng/fashion-best-friends-love-heart-couple-necklace.-jewelry-45819503.html,
Edikan Valentine,4,07/08/2024,I love it,Make it magnetic,https://www.jumia.com.ng/fashion-best-friends-love-heart-couple-necklace.-jewelry-45819503.html,
Judith,5,06/08/2024,quality,Quality,https://www.jumia.com.ng/fashion-best-friends-love-heart-couple-necklace.-jewelry-45819503.html,
Joseph David,5,26/07/2024,Slippers,Good product and nice,https://www.jumia.com.ng/generic-mens-anti-slip-sandals-flip-flop-slipper-shoes-257573511.html,
Faith Freeman,5,24/07/2024,Perfect,He loves it,https://www.jumia.com.ng/generic-mens-anti-slip-sandals-flip-flop-slipper-shoes-257573511.html,
Janet,5,22/07/2024,good,Very good,https://www.jumia.com.ng/generic-mens-anti-slip-sandals-flip-flop-slipper-shoes-257573511.html,
Micheal Onwudiachi,1,19/07/2024,It have bad quality,Bad quality,https://www.jumia.com.ng/fashion-backpack-casual-laptop-school-bag-65405946.html,
Olatunde,5,08/07/2024,cool second time buying,Cool it's amazing,https://www.jumia.com.ng/fashion-backpack-casual-laptop-school-bag-65405946.html,
ROTIMI AYODEJI,2,27/05/2024,The product is okay,Improve the Quality..Add inner spaces in the bag,https://www.jumia.com.ng/fashion-backpack-casual-laptop-school-bag-65405946.html,
Godswill Egba,2,08/08/2024,Not satisfied,The Polo Fabric is very light and not a quality one.,https://www.jumia.com.ng/fashion-mens-fashion-t-shirt-4-sets-of-men-polos-277880905.html,
Festus Oyekola,1,25/07/2024,Bad quality,Quality improvement,https://www.jumia.com.ng/fashion-mens-fashion-t-shirt-4-sets-of-men-polos-277880905.html,
Pr,5,23/07/2024,super nice,Quality and beautiful as seen. Choose a size bigger,https://www.jumia.com.ng/fashion-mens-fashion-t-shirt-4-sets-of-men-polos-277880905.html,
Michael,5,01/08/2024,lovely,cool and lovely,https://www.jumia.com.ng/fashion-2024-men-casual-noble-running-sneakers-blackgold-67963547.html,
Sunny,5,29/07/2024,Good,Good for raining days,https://www.jumia.com.ng/fashion-2024-men-casual-noble-running-sneakers-blackgold-67963547.html,
Hameed,3,22/07/2024,not as elegant as seen in the picture,The sole need to be upgrade to a certain level,https://www.jumia.com.ng/fashion-2024-men-casual-noble-running-sneakers-blackgold-67963547.html,
Oluwasope Akinleye,5,22/07/2024,Nice,Nice,https://www.jumia.com.ng/fashion-mens-formal-long-sleeve-business-shirt-black-273803182.html,
James,4,18/07/2024,I like it,Good product,https://www.jumia.com.ng/fashion-mens-formal-long-sleeve-business-shirt-black-273803182.html,
Ubi,1,17/07/2024,I don’t like it,It’s too small,https://www.jumia.com.ng/fashion-mens-formal-long-sleeve-business-shirt-black-273803182.html,
Uche,5,09/08/2024,fine,It's just okay for the price,https://www.jumia.com.ng/fashion-mens-sports-shoes-mesh-sneakers-blackorange-277290609.html,
Omotosho,4,08/08/2024,good shoe,Nice shoe,https://www.jumia.com.ng/fashion-mens-sports-shoes-mesh-sneakers-blackorange-277290609.html,
taiwo,5,07/08/2024,very good,Thumbs up,https://www.jumia.com.ng/fashion-mens-sports-shoes-mesh-sneakers-blackorange-277290609.html,
Gooko,3,08/08/2024,The length is too short,The material has a good texture though,https://www.jumia.com.ng/vejaro-n01-female-silk-lace-lingerie-suit-pajamas-blackred-79585629.html,
Wisdom Udoh,5,29/07/2024,Perfect fit,She loved it…,https://www.jumia.com.ng/vejaro-n01-female-silk-lace-lingerie-suit-pajamas-blackred-79585629.html,
Joanna,3,24/07/2024,vejaro.female silk lace lingerie......,Poor quality.,https://www.jumia.com.ng/vejaro-n01-female-silk-lace-lingerie-suit-pajamas-blackred-79585629.html,
Suphian,5,09/08/2024,it's very nice u should try it!!!,Colour,https://www.jumia.com.ng/ashion-martin-boots-sleek-durable-and-stylish-footwear-for-every-occasion-273625652.html,
Michael,5,07/08/2024,stylish,"Is comfortable on the floor 
And is the same as the one in the picture I love it",https://www.jumia.com.ng/ashion-martin-boots-sleek-durable-and-stylish-footwear-for-every-occasion-273625652.html,
Luper,1,01/08/2024,I don't like it,It's not to my satisfaction,https://www.jumia.com.ng/ashion-martin-boots-sleek-durable-and-stylish-footwear-for-every-occasion-273625652.html,
Emmanuel,4,07/08/2024,I like it,Very comfy.,https://www.jumia.com.ng/fashion-mens-mesh-sneakers-casual-sports-shoes-black-277286314.html,
Yemisi,4,06/08/2024,i love it' very nice product,Its very nice,https://www.jumia.com.ng/fashion-mens-mesh-sneakers-casual-sports-shoes-black-277286314.html,
Muhammed,4,19/07/2024,really okay,It actually okay for that price and I like it,https://www.jumia.com.ng/fashion-mens-mesh-sneakers-casual-sports-shoes-black-277286314.html,
Victory Oliver,1,07/08/2024,Poor,Very poor quality,https://www.jumia.com.ng/fashion-women-bags-handbags-ladies-bags-purse-shoulder-bags-69704062.html,
Esheku,5,29/07/2024,Good product,Nice bag,https://www.jumia.com.ng/fashion-women-bags-handbags-ladies-bags-purse-shoulder-bags-69704062.html,
Mufutau,5,26/07/2024,I like it,Perfectly ok,https://www.jumia.com.ng/fashion-women-bags-handbags-ladies-bags-purse-shoulder-bags-69704062.html,
Oluwatobi,5,09/08/2024,I love it,It is the best,https://www.jumia.com.ng/fashion-el-vin-grey-joggers-black-short-r-206414672.html,
EDWINA,3,08/08/2024,"Like it, but not for tall people",My son is 5ft 10inches (about 1.8m) tall. They were short. But durable-looking fabric.,https://www.jumia.com.ng/fashion-el-vin-grey-joggers-black-short-r-206414672.html,
Stanley,5,05/08/2024,I love it,It is a Wow for me,https://www.jumia.com.ng/fashion-el-vin-grey-joggers-black-short-r-206414672.html,
Ibeh,5,30/07/2024,i love it,Is very nice,https://www.jumia.com.ng/fashion-best-friends-love-heart-couple-necklace.-jewelry-2-143463804.html,
Michael,5,05/07/2024,I like it,It’s very light,https://www.jumia.com.ng/fashion-best-friends-love-heart-couple-necklace.-jewelry-2-143463804.html,
Akinola,5,05/07/2024,i love this,Very shinning and looks great,https://www.jumia.com.ng/fashion-best-friends-love-heart-couple-necklace.-jewelry-2-143463804.html,
OlaOluwa,5,07/08/2024,Good products,Very nice,https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeved-t-shirtshorts-set-black-280641330.html,
Godwin,4,10/07/2024,its good,Very nice and light in weight,https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeved-t-shirtshorts-set-black-280641330.html,
Adebowale,3,09/07/2024,good for the price,The quality needs to be improved,https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeved-t-shirtshorts-set-black-280641330.html,
CHISOM,5,29/07/2024,Comments,The clothes are fine and up to the expected quality regarding the price.,https://www.jumia.com.ng/fashion-2-in1-mens-tracksuit-set-jogger-sweatpants-sport-suit-black-71799576.html,
Olumide,4,26/07/2024,i like it,Very sporty wear,https://www.jumia.com.ng/fashion-2-in1-mens-tracksuit-set-jogger-sweatpants-sport-suit-black-71799576.html,
Chukwu,5,23/07/2024,i love it,Its cool,https://www.jumia.com.ng/fashion-2-in1-mens-tracksuit-set-jogger-sweatpants-sport-suit-black-71799576.html,
Lady B - Brendo,4,08/08/2024,⭐✨???????? Good Buy!,"My husband Love this sneaker. It's very good. Size perfect. Just as it's displayed on the system. I recommend it for everyone. Trust me, It's a good buy.",https://www.jumia.com.ng/fashion-mens-sports-shoes-round-toe-mesh-sneakers-white-277297046.html,
GMG,5,01/08/2024,good product,Good and gorgeous ???? sneakers,https://www.jumia.com.ng/fashion-mens-sports-shoes-round-toe-mesh-sneakers-white-277297046.html,
Olowosoke,5,29/07/2024,So lovely,Light and exactly what's on the picture no difference,https://www.jumia.com.ng/fashion-mens-sports-shoes-round-toe-mesh-sneakers-white-277297046.html,
Chiamaka,4,05/08/2024,good product,"Just that it's not my husband's size, it has small fitting",https://www.jumia.com.ng/fashion-mens-beach-shoes-outdoor-eva-hole-sandals-white-214257404.html,
Saqib,4,31/07/2024,"As per price, Its good",Recommended.,https://www.jumia.com.ng/fashion-mens-beach-shoes-outdoor-eva-hole-sandals-white-214257404.html,
Victor,5,30/07/2024,good stuff,Very comfortable,https://www.jumia.com.ng/fashion-mens-beach-shoes-outdoor-eva-hole-sandals-white-214257404.html,
Sheriff,5,05/08/2024,Cool,Exactly what I had expected.,https://www.jumia.com.ng/fashion-suede-mid-ankle-comfy-shoe-sneakers-black-162096510.html,
Dennis,5,30/07/2024,they quality and it durability,they quality and it durability,https://www.jumia.com.ng/fashion-suede-mid-ankle-comfy-shoe-sneakers-black-162096510.html,
David,5,29/07/2024,Good Quality,"I love the shoe, looks good and exactly as seen.",https://www.jumia.com.ng/fashion-suede-mid-ankle-comfy-shoe-sneakers-black-162096510.html,
bridget,5,07/08/2024,nice,the shirts are so beautiful and neat. the fabric is breathable. not so thick but it beats the price,https://www.jumia.com.ng/fashion-t-shirt-3-pcs-shirts-mens-fashion-short-sleeve-253625869.html,
Taiwo,5,29/07/2024,Perfect T-shirts,"I love the fitness of the clothes.
Initially I was scared it won't be fitted because of its size which is 2XL but it fitted perfectly ????",https://www.jumia.com.ng/fashion-t-shirt-3-pcs-shirts-mens-fashion-short-sleeve-253625869.html,
Ali,5,23/07/2024,Nice design,Lovely designs but small sizes,https://www.jumia.com.ng/fashion-t-shirt-3-pcs-shirts-mens-fashion-short-sleeve-253625869.html,
David Oziengbe,5,05/08/2024,Nice,Nice,https://www.jumia.com.ng/ashion-2024-mens-panties-underpant-underwear-4-piece-256484225.html,
SULAIMAN,4,26/07/2024,Like it,Very ok,https://www.jumia.com.ng/ashion-2024-mens-panties-underpant-underwear-4-piece-256484225.html,
SOLOMON,3,25/07/2024,Thin pants,It could be thicker,https://www.jumia.com.ng/ashion-2024-mens-panties-underpant-underwear-4-piece-256484225.html,
Prince,4,30/07/2024,good buy,"Nice product but small cout be a little bigger, length is okey",https://www.jumia.com.ng/fashion-black-brown-double-sided-reversible-men-leather-belt-203148415.html,
Onifade,4,29/07/2024,Good belt,"Unbelievable, very good, more than my expectations",https://www.jumia.com.ng/fashion-black-brown-double-sided-reversible-men-leather-belt-203148415.html,
Ademuyiwa,5,25/07/2024,The quality,It was exactly what was shown in the picture,https://www.jumia.com.ng/fashion-black-brown-double-sided-reversible-men-leather-belt-203148415.html,
Oluwabukunmi,2,01/08/2024,The shirt is too short,Make the shirt and short longer,https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeve-round-neck-t-shirt-shorts-set-bluewhite-44509083.html,
Chimaobi,5,29/07/2024,I like it,Looks nice,https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeve-round-neck-t-shirt-shorts-set-bluewhite-44509083.html,
Michael,5,29/07/2024,perfect,Lovely nd perfect,https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeve-round-neck-t-shirt-shorts-set-bluewhite-44509083.html,
David,2,09/08/2024,too small,Increase the size of the bag,https://www.jumia.com.ng/eilifinte-b05-pu-fabric-crossbody-chest-shoulder-bag-brown-103755678.html,
taiwo,3,07/08/2024,Bàg,Zip quality should be worked upon. Leather is good,https://www.jumia.com.ng/eilifinte-b05-pu-fabric-crossbody-chest-shoulder-bag-brown-103755678.html,
Sanusi Adedotun,3,05/08/2024,The zipper,The bag is good and better than it’s price but the zips are weak and spoil quickly,https://www.jumia.com.ng/eilifinte-b05-pu-fabric-crossbody-chest-shoulder-bag-brown-103755678.html,
Phillip,4,05/08/2024,Fairly ok,It is above average but this is actually not leather in the real sense of it.,https://www.jumia.com.ng/fashion-mens-leather-dress-shoes-plus-size-brown-222020653.html,
John,4,30/07/2024,Rating,All leather shoe at an affordable price,https://www.jumia.com.ng/fashion-mens-leather-dress-shoes-plus-size-brown-222020653.html,
Marvelous,5,30/07/2024,Comfortability,The shoe is not heavy and it looks exactly as it is in the picture,https://www.jumia.com.ng/fashion-mens-leather-dress-shoes-plus-size-brown-222020653.html,
Oyedokun Waris,5,05/08/2024,Shoe,You’re the best,https://www.jumia.com.ng/fashion-mens-casual-athletic-running-shoes-outdoor-jogging-sports-tennis-sneakers-gym-black-273562316.html,
Omozusi,5,29/07/2024,nice,My son likes it,https://www.jumia.com.ng/fashion-mens-casual-athletic-running-shoes-outdoor-jogging-sports-tennis-sneakers-gym-black-273562316.html,
Emmanuel,4,26/07/2024,I like it,Love it,https://www.jumia.com.ng/fashion-mens-casual-athletic-running-shoes-outdoor-jogging-sports-tennis-sneakers-gym-black-273562316.html,
